N° BOLETIN;PATENTE;FECHA EMISION;AÑO DEL PERMISO;VALOR PERMISO; VALOR IPC;VALOR MULTA;TOTAL A PAGAR;TIPO DE PAGO; CAJA;TIPO VEHICULO;FECHA PAGO; Codigo Sii ; Clasificacion ; Fondos a Terceros 
505;BLZP-42-K;19-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2021;SD079011908;NORMAL;No
436;BLZR-12-0;15-03-2021;2021;33405;0;0;33405;CONTADO   ;PRESENCIAL;CAMIONETA ;16-03-2021;CT176019008;NORMAL;No
574;BLZT-83-2;24-03-2021;2021;27362;0;0;27362;CONTADO   ;PRESENCIAL;CAMIONETA ;24-03-2021;CT154000608;NORMAL;No
2113;BLZW-95-9;31-08-2021;2021;113745;0;0;113745;2ª Cuota  ;PAGADO INTERNET;CAMIONETA ;28-09-2021;CT117001118;NORMAL;No
1261;BLZW-95-9;31-03-2021;2021;112285;0;0;112285;1ª Cuota  ;PRESENCIAL;CAMIONETA ;27-04-2021;CT117001118;NORMAL;No
913;BPBL-46-5;31-03-2021;2021;46953;0;0;46953;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;VN121000804;NORMAL;No
1036;BPP-086-1;13-03-2021;2021;62698;0;0;62698;CONTADO   ;PRESENCIAL;Moto      ;31-03-2021;MT032007915;NORMAL;No
838;BPPB-94-0;30-03-2021;2021;38284;0;0;38284;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT176023808;NORMAL;No
1327;BPPV-77-4;01-04-2021;2021;49168;98;739;50005;CONTADO   ;PRESENCIAL;STATION WA;30-04-2021;SU229021008;NORMAL;No
1123;BPPY-65-K;26-03-2021;2021;36464;0;0;36464;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT050027409;NORMAL;No
596;BPVB-68-7;24-03-2021;2021;46165;0;0;46165;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2021;CT166004808;NORMAL;No
928;BPXJ-31-7;31-03-2021;2021;63914;0;0;63914;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU227028208;NORMAL;No
1238;BRCK-54-4;30-03-2021;2021;43726;0;0;43726;CONTADO   ;PRESENCIAL;STATION WA;27-04-2021;SU111005908;NORMAL;No
2244;BRRK-21-8;30-09-2021;2021;156483;0;0;156483;CONTADO   ;PRESENCIAL;CAMION    ;19-10-2021; ;NORMAL;No
895;BRSS-58-0;30-03-2021;2021;29087;0;0;29087;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU079004508;NORMAL;No
497;BRWK-55-4;19-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2021;SD132010309;NORMAL;No
2034;BRXB-30-K;20-08-2021;2021;28705;0;0;28705;2ª Cuota  ;PAGADO INTERNET;CAMIONETA ;31-08-2021;CT235011608;NORMAL;No
1069;BRXB-30-K;18-03-2021;2021;28337;0;0;28337;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-03-2021;CT235011608;NORMAL;No
1654;BSTG-76-1;23-06-2021;2021;31528;284;1432;33244;CONTADO   ;PRESENCIAL;STATION WA;02-07-2021;SU059009508;NORMAL;No
1102;BSVG-32-5;24-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD197012009;NORMAL;No
924;BSYV-54-2;31-03-2021;2021;36782;0;0;36782;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT160008408;NORMAL;No
660;BTRF-13-0;26-03-2021;2021;63617;0;0;63617;CONTADO   ;PRESENCIAL;CAMIONETA ;29-03-2021;CT235011609;NORMAL;No
432;BTRZ-47-7;15-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;15-03-2021;HB111004408;NORMAL;No
488;BTVC-39-8;19-03-2021;2021;46916;0;0;46916;CONTADO   ;PRESENCIAL;STATION WA;22-03-2021;SU229018508;NORMAL;No
1077;BTXF-46-4;21-03-2021;2021;39973;0;0;39973;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT160009509;NORMAL;No
2373;BU-4700-1;05-11-2021;2020;100644;6240;22446;129330;CONTADO   ;PRESENCIAL;CAMION    ;05-11-2021; ;NORMAL;No
2374;BU-4700-1;05-11-2021;2021;104322;1565;3177;109064;CONTADO   ;PRESENCIAL;CAMION    ;05-11-2021; ;NORMAL;No
1089;BVFP-38-6;22-03-2021;2021;27867;0;0;27867;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU050005509;NORMAL;No
545;BVKF-21-9;23-03-2021;2021;61366;0;0;61366;CONTADO   ;PRESENCIAL;CAMIONETA ;24-03-2021;CT176024309;NORMAL;No
2330;BVSV-74-9;22-10-2021;2021;51489;978;3935;56402;CONTADO   ;PRESENCIAL;MINIBUS   ;22-10-2021; ;NORMAL;No
1396;BVTF-39-K;26-04-2021;2021;25489;51;383;25923;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-05-2021;HB229009209;NORMAL;No
321;BVTG-47-7;24-02-2021;2021;210838;0;0;210838;CONTADO   ;PRESENCIAL;STATION WA;24-02-2021;SU162002509;NORMAL;No
602;BXBH-99-9;24-03-2021;2021;41849;0;0;41849;CONTADO   ;PRESENCIAL;STATION WA;25-03-2021;SU079004310;NORMAL;No
1050;BYDG-55-6;16-03-2021;2021;36407;0;0;36407;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU059010109;NORMAL;No
846;BYDH-18-8;30-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;SD050021509;NORMAL;No
809;BYGY-13-0;30-03-2021;2021;63617;0;0;63617;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT235011609;NORMAL;No
1155;BYLB-81-2;27-03-2021;2021;51420;0;0;51420;CONTADO   ;PRESENCIAL;FURGON    ;31-03-2021;VN111012409;NORMAL;No
1526;BYTF-92-K;31-05-2021;2021;51489;0;0;51489;CONTADO   ;PRESENCIAL;MINIBUS   ;31-05-2021; ;NORMAL;No
387;BYTH-54-K;10-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;10-03-2021;HB229006909;NORMAL;No
601;BZ-7587-8;24-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2021;CT235000389;NORMAL;No
688;BZBR-59-3;29-03-2021;2021;62579;0;0;62579;CONTADO   ;PRESENCIAL;CAMIONETA ;29-03-2021;CT160009809;NORMAL;No
240;BZRZ-45-3;27-01-2021;2017;39260;3534;27604;70398;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-01-2021;SD050022510;NORMAL;No
241;BZRZ-45-3;27-01-2021;2018;34989;2309;17344;54642;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-01-2021;SD050022510;NORMAL;No
242;BZRZ-45-3;27-01-2021;2019;31188;1341;9271;41800;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-01-2021;SD050022510;NORMAL;No
1312;BZSV-22-4;01-04-2021;2021;54985;110;826;55921;CONTADO   ;PRESENCIAL;CAMIONETA ;30-04-2021;CT235011509;NORMAL;No
554;CBLD-83-3;23-03-2021;2021;36970;0;0;36970;CONTADO   ;PRESENCIAL;STATION WA;24-03-2021;SU111006509;NORMAL;No
868;CBLY-41-K;30-03-2021;2021;55173;0;0;55173;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT079014410;NORMAL;No
416;CBLZ-23-8;15-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;15-03-2021;SD050022710;NORMAL;No
1230;CBPD-99-0;30-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;27-04-2021;HB132002409;NORMAL;No
613;CBPK-80-1;24-03-2021;2021;118510;0;0;118510;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2021;CT132005014;NORMAL;No
1217;CBPV-31-4;30-03-2021;2021;60427;0;0;60427;CONTADO   ;PRESENCIAL;STATION WA;26-04-2021;SU050006610;NORMAL;No
1974;CCDJ-12-1;10-08-2021;2020;69490;2571;15133;87194;CONTADO   ;PRESENCIAL;CAMIONETA ;13-08-2021;CT160009809;NORMAL;No
2062;CCFJ-33-K;24-08-2021;2021;18630;0;0;18630;2ª Cuota  ;PAGADO INTERNET;STATION WA;28-09-2021;SU229022210;NORMAL;No
1094;CCFJ-33-K;23-03-2021;2021;18391;0;0;18391;1ª Cuota  ;PRESENCIAL;STATION WA;31-03-2021;SU229022210;NORMAL;No
465;CCFY-54-9;18-03-2021;2021;48417;0;0;48417;CONTADO   ;PRESENCIAL;CAMIONETA ;18-03-2021;CT176023810;NORMAL;No
2247;CCWW-59-8;30-09-2021;2021;52161;0;0;52161;CONTADO   ;PRESENCIAL;CAMION    ;30-09-2021; ;NORMAL;No
1616;CCYW-47-5;11-06-2021;2021;25489;229;1157;26875;CONTADO   ;PRESENCIAL;CAMIONETA ;17-06-2021;CT050026209;NORMAL;No
367;CDRK-35-6;05-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;05-03-2021;HB111006410;NORMAL;No
1555;CDSH-72-3;11-05-2021;2021;27023;162;816;28001;CONTADO   ;PRESENCIAL;FURGON    ;31-05-2021;CO184005810;NORMAL;No
814;CDVY-76-K;30-03-2021;2021;44101;0;0;44101;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU132010410;NORMAL;No
1105;CDVY-80-8;24-03-2021;2021;44789;0;0;44789;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;HB235004610;NORMAL;No
652;CDWC-95-3;26-03-2021;2021;28055;0;0;28055;CONTADO   ;PRESENCIAL;AUTOMOVIL ;29-03-2021;SD111016410;NORMAL;No
1017;CDWF-83-2;08-03-2021;2021;78411;0;0;78411;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;VN111016011;NORMAL;No
1653;CDWS-43-7;17-06-2021;2021;243209;2189;11043;256441;CONTADO   ;PRESENCIAL;STATION WA;02-07-2021;SU032002610;NORMAL;No
876;CFFF-84-4;30-03-2021;2021;36746;0;0;36746;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-03-2021;CT176028010;NORMAL;No
2082;CFFF-84-4;30-08-2021;2021;37223;0;0;37223;2ª Cuota  ;PRESENCIAL;CAMIONETA ;30-08-2021;CT176028010;NORMAL;No
675;CFLZ-79-7;26-03-2021;2021;64556;0;0;64556;CONTADO   ;PRESENCIAL;CAMIONETA ;26-03-2021;CT176020310;NORMAL;No
605;CFPF-58-3;24-03-2021;2021;32278;0;0;32278;1ª Cuota  ;PRESENCIAL;CAMIONETA ;25-03-2021;CT166004610;NORMAL;No
2183;CFPF-58-3;23-09-2021;2021;32698;262;494;33454;2ª Cuota  ;PRESENCIAL;CAMIONETA ;24-09-2021;CT166004610;NORMAL;No
1048;CFVP-46-1;16-03-2021;2021;34155;0;0;34155;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT154000610;NORMAL;No
1379;CFVP-83-6;13-04-2021;2021;129714;259;1950;131923;CONTADO   ;PRESENCIAL;CAMIONETA ;30-04-2021;CT235013010;NORMAL;No
486;CFYT-21-8;19-03-2021;2021;35599;0;0;35599;1ª Cuota  ;PRESENCIAL;CAMIONETA ;24-03-2021;CT064005810;NORMAL;No
2051;CFYT-21-8;26-08-2021;2021;36062;0;0;36062;2ª Cuota  ;PRESENCIAL;CAMIONETA ;26-08-2021;CT064005810;NORMAL;No
542;CGPL-65-2;23-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;CAMIONETA ;24-03-2021;CT091001309;NORMAL;No
359;CGRB-98-9;05-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;CAMIONETA ;05-03-2021;CT111001199;NORMAL;No
1608;CGYL-86-9;08-06-2021;2021;51489;206;775;52470;CONTADO   ;PRESENCIAL;MINIBUS   ;08-06-2021; ;NORMAL;No
504;CGYP-70-5;19-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2021;HB050011410;NORMAL;No
1430;CHYS-99-7;10-05-2021;2020;67996;2516;14808;85320;CONTADO   ;PRESENCIAL;CAMIONETA ;11-05-2021;CT176020010;NORMAL;No
1431;CHYS-99-7;10-05-2021;2021;61178;367;1846;63391;CONTADO   ;PRESENCIAL;CAMIONETA ;11-05-2021;CT176020010;NORMAL;No
531;CHZD-77-1;22-03-2021;2021;62025;0;0;62025;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT050028910;NORMAL;No
406;CHZW-40-1;12-03-2021;2021;53672;0;0;53672;CONTADO   ;PRESENCIAL;STATION WA;15-03-2021;SU229022910;NORMAL;No
1306;CJK-065-8;31-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;MOTO      ;27-04-2021;MT173011315;NORMAL;No
1287;CJWX-66-K;31-03-2021;2021;28055;0;0;28055;CONTADO   ;PRESENCIAL;AUTOMOVIL ;27-04-2021;HB229007710;NORMAL;No
1349;CKJS-63-K;04-04-2021;2021;60803;122;914;61839;CONTADO   ;PRESENCIAL;STATION WA;30-04-2021;SU227028010;NORMAL;No
496;CKKF-71-2;19-03-2021;2021;73939;0;0;73939;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT235011610;NORMAL;No
1175;CKPK-95-1;29-03-2021;2021;26366;0;0;26366;CONTADO   ;PRESENCIAL;CAMIONETA ;26-04-2021;CT091001610;NORMAL;No
847;CKPK-97-8;30-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT091001410;NORMAL;No
1488;CLYG-13-6;24-05-2021;2020;28568;886;3976;33430;2ª Cuota  ;PRESENCIAL;JEEP      ;25-05-2021;SU229024010;NORMAL;No
1566;CLYG-13-6;24-05-2021;2021;50669;304;1529;52502;CONTADO   ;PRESENCIAL;JEEP      ;31-05-2021;SU229024010;NORMAL;No
1088;CPTL-59-7;22-03-2021;2021;27490;0;0;27490;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;HB050012211;NORMAL;No
616;CPTS-44-0;25-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;25-03-2021;SD050026511;NORMAL;No
661;CPTT-61-7;26-03-2021;2021;12745;0;0;12745;1ª Cuota  ;PRESENCIAL;AUTOMOVIL ;29-03-2021;HB229011011;NORMAL;No
636;CPYH-52-2;25-03-2021;2021;77692;0;0;77692;CONTADO   ;PRESENCIAL;CAMIONETA ;29-03-2021;CT160010310;NORMAL;No
372;CPZV-26-2;05-03-2021;2021;94536;0;0;94536;CONTADO   ;PRESENCIAL;CAMIONETA ;09-03-2021;CT064006611;NORMAL;No
1120;CRBJ-26-0;25-03-2021;2021;62025;0;0;62025;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT050028910;NORMAL;No
692;CRFT-97-7;29-03-2021;2021;69998;0;0;69998;CONTADO   ;PRESENCIAL;STATION WA;31-03-2021;SU235005811;NORMAL;No
1018;CRHB-38-3;08-03-2021;2021;57425;0;0;57425;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT050027210;NORMAL;No
1332;CRJY-34-0;01-04-2021;2021;42600;85;640;43325;CONTADO   ;PRESENCIAL;STATION WA;30-04-2021;SU229023810;NORMAL;No
474;CRVV-54-5;18-03-2021;2021;33780;0;0;33780;CONTADO   ;PRESENCIAL;AUTOMOVIL ;18-03-2021;SD132010411;NORMAL;No
1035;CRVZ-53-2;12-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2021;HB229011111;NORMAL;No
963;CSCP-34-0;31-03-2021;2021;31621;0;0;31621;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-03-2021;CT235011510;NORMAL;No
2255;CSCP-34-0;30-09-2021;2021;32032;256;484;32772;2ª Cuota  ;PRESENCIAL;CAMIONETA ;25-10-2021;CT235011510;NORMAL;No
437;CSFW-71-0;15-03-2021;2021;25489;0;0;25489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;16-03-2021;HB229009210;NORMAL;No
567;CSRX-81-3;23-03-2021;2021;30590;0;0;30590;CONTADO   ;PRESENCIAL;AUTOMOVIL ;24-03-2021;SD132010511;NORMAL;No
1167;CSXP-20-4;19-03-2021;2021;131301;0;0;131301;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT106000210;NORMAL;No
1;CTFG-69-7;18-01-2021;2020;93289;1959;14287;109535;CONTADO   ;PRESENCIAL;CAMIONETA ;18-01-2021;CT235011611;NORMAL;No
529;CTFG-69-7;22-03-2021;2021;83697;0;0;83697;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT235011611;NORMAL;No
995;CTJG-50-2;05-04-2021;2021;55736;111;838;56685;CONTADO   ;PRESENCIAL;STATION WA;16-04-2021;SU176019711;NORMAL;No
1459;CTJH-36-3;07-04-2021;2021;38658;77;581;39316;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-05-2021;CT176025911;NORMAL;No
1223;CTJX-97-1;30-03-2021;2021;53672;0;0;53672;CONTADO   ;PRESENCIAL;AUTOMOVIL ;27-04-2021;SD235018511;NORMAL;No
1625;CTVD-54-1;15-06-2021;2021;56862;512;2582;59956;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-06-2021;HB235004411;NORMAL;No
530;CTVY-63-2;22-03-2021;2021;73751;0;0;73751;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2021;CT176023711;NORMAL;No
655;CVFD-12-5;26-03-2021;2021;57612;0;0;57612;CONTADO   ;PRESENCIAL;STATION WA;26-03-2021;SU154000612;NORMAL;No
1259;CVJH-77-5;31-03-2021;2021;26554;0;0;26554;CONTADO   ;PRESENCIAL;AUTOMOVIL ;27-04-2021;SD050022711;NORMAL;No
1301;CVSV-63-7;31-03-2021;2021;70848;0;0;70848;CONTADO   ;PRESENCIAL;STATION WA;27-04-2021;SU132012611;NORMAL;No
650;CWHJ-87-8;26-03-2021;2021;54422;0;0;54422;CONTADO   ;PRESENCIAL;CAMIONETA ;26-03-2021;CT176019211;NORMAL;No
872;CWJP-30-5;30-03-2021;2021;86750;0;0;86750;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2021;CT243003511;NORMAL;No
1966;CXJC-54-K;05-08-2021;2021;51489;360;2333;54182;CONTADO   ;PRESENCIAL;MINIBUS   ;05-08-2021; ;NORMAL;No
2003;CXJR-21-3;05-08-2021;2021;164907;2144;12529;179580;CONTADO   ;PAGADO INTERNET;AUTOMOVIL ;24-08-2021;SD079012411;NORMAL;No
