PATENTE;FECHA EMISION;AÑO DEL PERMISO;TOTAL A PAGAR;TIPO PAGO;MODALIDAD PAGO;TIPO VEHICULO;CODIGO SII;CLASIFICACION;FONDO A TERCERO;COMUNA FONDO TERCERO
CKJS-63-K;01-09-2023;2023;34720;2ª Cuota  ;PAGO ONLINE;STATION WA;SU227028010;NORMAL;No;
CKJS-63-K;31-03-2023;2023;33634;1ª Cuota  ;PAGO ONLINE;STATION WA;SU227028010;NORMAL;No;
CKKF-71-2;21-03-2023;2023;71553;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011610;NORMAL;No;
CKKH-51-0;11-04-2023;2023;51435;CONTADO   ;PRESENCIAL;CAMIONETA ;CT111004410;NORMAL;No;
CKKJ-25-8;20-03-2023;2023;52173;CONTADO   ;PRESENCIAL;FURGON    ;VN111012210;NORMAL;No;
CKKJ-25-8;20-03-2023;2022;75762;CONTADO   ;PRESENCIAL;FURGON    ;VN111012210;NORMAL;Si;MELIPEUCO                     
CKKJ-25-8;20-03-2023;2021;95424;CONTADO   ;PRESENCIAL;FURGON    ;VN111012210;NORMAL;Si;MELIPEUCO                     
CKPK-95-1;15-03-2023;2023;31762;CONTADO   ;PRESENCIAL;CAMIONETA ;CT091001610;NORMAL;No;
CKPK-97-8;13-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT091001410;NORMAL;No;
CKWC-44-1;18-08-2023;2023;6320;DUPLICADO ;PRESENCIAL;CAMIONETA ;CT231000211;NORMAL;No;
CKWC-44-1;30-03-2023;2023;42288;CONTADO   ;PRESENCIAL;CAMIONETA ; ;DUPLICADO;No;
CLHV-10-0;24-03-2023;2023;34600;CONTADO   ;PRESENCIAL;STATION WA;SU229023810;NORMAL;No;
CLRB-44-8;30-03-2023;2023;81620;CONTADO   ;PAGO ONLINE;STATION WA;SU227031410;NORMAL;No;
CO-0191-9;17-04-2023;2023;31348;CONTADO   ;PAGO ONLINE;Moto      ;MT070000515;NORMAL;No;
CPBS-75-4;30-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD176021410;NORMAL;No;
CPCD-18-0;22-03-2023;2023;55149;CONTADO   ;PRESENCIAL;STATION WA;SU176019310;NORMAL;No;
CPGF-65-5;30-03-2023;2023;42669;CONTADO   ;PRESENCIAL;JEEP      ;SU229024010;NORMAL;No;
CPTS-44-0;17-04-2023;2023;31348;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD050026511;NORMAL;No;
CPTT-61-7;22-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB229011011;NORMAL;No;
CPYH-52-2;27-03-2023;2023;78650;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT160010310;NORMAL;No;
CPZV-26-2;10-03-2023;2023;90708;CONTADO   ;PRESENCIAL;CAMIONETA ;CT064006611;NORMAL;No;
CRBJ-26-0;17-03-2023;2023;60025;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050028910;NORMAL;No;
CRBZ-97-2;05-04-2023;2023;63304;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT176025110;NORMAL;No;
CRCZ-45-5;29-03-2023;2023;56254;CONTADO   ;PRESENCIAL;CAMIONETA ;CT132003710;NORMAL;No;
CRFT-97-7;28-03-2023;2023;61998;CONTADO   ;PAGO ONLINE;STATION WA;SU235005811;NORMAL;No;
CRHB-38-3;22-03-2023;2023;65425;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050027210;NORMAL;No;
CRJY-34-0;29-03-2023;2023;34600;CONTADO   ;PRESENCIAL;STATION WA;SU229023810;NORMAL;No;
CRVP-25-K;29-09-2023;2023;63326;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
CRVS-55-0;31-03-2023;2023;30885;CONTADO   ;PRESENCIAL;FURGON    ;CO052005911;NORMAL;No;
CRVV-54-5;02-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;SD132010411;NORMAL;No;
CRVZ-15-K;11-10-2023;2023;34742;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB132003211;NORMAL;No;
CRVZ-53-2;29-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229011111;NORMAL;No;
CRWX-20-9;02-03-2023;2023;30885;CONTADO   ;PRESENCIAL;STATION WA;SD050025110;NORMAL;No;
CSCP-34-0;31-03-2023;2023;56867;CONTADO   ;PRESENCIAL;CAMIONETA ;CT235011510;NORMAL;No;
CSFW-71-0;25-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;HB229009210;NORMAL;No;
CSRX-81-3;21-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD132010511;NORMAL;No;
CSSB-70-5;23-08-2023;2023;33634;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB111006411;NORMAL;No;
CSXP-20-4;11-03-2023;2023;125773;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT106000210;NORMAL;No;
CTFG-69-7;27-03-2023;2023;80628;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT235011611;NORMAL;No;
CTJG-50-2;04-04-2023;2023;50211;CONTADO   ;PRESENCIAL;STATION WA;SU176019711;NORMAL;No;
CTPZ-34-8;28-09-2023;2023;63326;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;No;
CTPZ-34-8;28-09-2023;2022;73200;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;Si;RANCAGUA                      
CTPZ-34-8;28-09-2023;2021;85411;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;Si;RANCAGUA                      
CTPZ-34-8;28-09-2023;2020;97567;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;Si;RANCAGUA                      
CTPZ-34-8;27-09-2023;2019;108879;CONTADO   ;PRESENCIAL;CAMION    ; ;NORMAL;Si;RANCAGUA                      
CTVD-54-1;29-03-2023;2023;27208;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;HB235004411;NORMAL;No;
CTVY-63-2;22-03-2023;2023;65751;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176023711;NORMAL;No;
CVBW-63-2;29-04-2023;2023;85027;CONTADO   ;PAGO ONLINE;STATION WA;SU160003511;NORMAL;No;
CVFD-12-5;09-03-2023;2023;27806;1ª Cuota  ;PAGO ONLINE;STATION WA;SU154000612;NORMAL;No;
CVFJ-34-1;17-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB050011311;NORMAL;No;
CVJH-77-5;15-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD050022711;NORMAL;No;
CVWT-44-0;05-09-2023;2023;31657;2ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT176029311;NORMAL;No;
CVWT-44-0;30-03-2023;2023;30667;1ª Cuota  ;PAGO ONLINE;CAMIONETA ;CT176029311;NORMAL;No;
CWHJ-87-8;08-03-2023;2023;47438;CONTADO   ;PRESENCIAL;CAMIONETA ;CT176019211;NORMAL;No;
CWJP-30-5;16-03-2023;2023;83468;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT243003511;NORMAL;No;
CXJR-21-3;28-08-2023;2023;88612;2ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;SD079012411;NORMAL;No;
CXJR-21-3;22-03-2023;2023;87475;1ª Cuota  ;PAGO ONLINE;AUTOMOVIL ;SD079012411;NORMAL;No;
CXKV-52-8;01-03-2023;2023;30885;CONTADO   ;PRESENCIAL;AUTOMOVIL ;HB050011411;NORMAL;No;
CYWY-15-6;30-03-2023;2023;36659;CONTADO   ;PAGO ONLINE;STATION WA;CT154001111;NORMAL;No;
CYXF-14-8;13-03-2023;2023;30885;CONTADO   ;PAGO ONLINE;AUTOMOVIL ;SD111014611;NORMAL;No;
CYXL-38-7;22-03-2023;2023;66774;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050026811;NORMAL;No;
CYYH-11-1;30-03-2023;2023;76439;CONTADO   ;PRESENCIAL;CAMIONETA ;CT160010011;NORMAL;No;
CZZH-45-6;04-04-2023;2023;67230;CONTADO   ;PAGO ONLINE;CAMIONETA ;CT050028911;NORMAL;No;
