PATENTE;AÑO DEL PERMISO;TOTAL A PAGAR;TIPO DE PAGO;MODALIDAD;TIPO VEHICULO;FECHA PAGO;CODIGO SII;DUPLICADO;FONDO A TERCEROS
BDKT-23-6;2021;203450;CONTADO   ;PRESENCIAL;CAMION    ;18-08-2022;SD132009307;;No
BDLB-96-8;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;CT166004508;;No
BDLR-43-3;2022;40428;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-06-2022;CT079015408;;No
BDLR-43-3;2021;22024;2ª Cuota  ;PRESENCIAL;AUTOMOVIL ;29-06-2022;SD176020806;;No
BDVW-29-1;2022;57235;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022;CT160008508;;No
BFCW-58-3;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-03-2022;SD132009308;;No
BFFD-78-K;2022;49728;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;CT064005208;;No
BFRH-37-0;2022;52355;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022; ;;No
BGCJ-55-K;2022;278049;CONTADO   ;INTERNET;STATION WA;01-04-2022;SU160007520;;No
BGJZ-73-8;2022;80619;CONTADO   ;PRESENCIAL;JEEP      ;21-04-2022;SU132008408;;No
BGRT-98-4;2022;50104;CONTADO   ;INTERNET;AUTOMOVIL ;21-03-2022;SU197009420;;No
BGSX-18-0;2022;28489;CONTADO   ;PRESENCIAL;AUTOMOVIL ;09-03-2022; ;;No
BHCT-71-7;2022;36876;CONTADO   ;PRESENCIAL;STATION WA;04-04-2022;HB111004508;;No
BHGV-44-2;2022;38194;CONTADO   ;PRESENCIAL;CAMIONETA ;24-06-2022;HB160003008;;Si
BHGV-44-2;2021;44128;CONTADO   ;PRESENCIAL;CAMIONETA ;24-06-2022;SD050017206;;No
BHJJ-98-5;2022;70558;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;HB160003008;;No
BHVS-69-5;2022;58690;CONTADO   ;PRESENCIAL;MINIBUS   ;15-07-2022;CT166004708;;No
BHVV-41-8;2022;27221;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022;SD050019108;;No
BJJF-67-0;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;14-03-2022;CT132003708;;No
BJRY-95-4;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;30-03-2022;CO052011520;;No
BJSZ-99-9;2022;29470;CONTADO   ;PRESENCIAL;AUTOMOVIL ;16-06-2022;CT166004508;;No
BKCV-65-8;2022;39782;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT079020119;;No
BKKR-95-3;2022;46538;CONTADO   ;PRESENCIAL;CAMIONETA ;28-03-2022;SU141004808;;No
BKRP-38-9;2022;45834;CONTADO   ;PRESENCIAL;STATION WA;06-05-2022;VN121001809;;No
BKTW-30-2;2022;82399;CONTADO   ;PRESENCIAL;STATION WA;09-03-2022;SD166006308;;No
BKTX-61-9;2022;31249;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;HB052015508;;No
BKXH-72-4;2022;50625;CONTADO   ;INTERNET;STATION WA;27-04-2022;SD227006595;;No
BKXH-96-1;2022;76387;CONTADO   ;PRESENCIAL;STATION WA;22-06-2022;SU229019008;;No
BKYJ-31-9;2022;87372;CONTADO   ;PRESENCIAL;MAQUINA IN;29-09-2022;CT050026008;;Si
BLFT-95-9;2022;46538;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;CT050026008;;No
BLGD-46-K;2022;66215;CONTADO   ;PRESENCIAL;STATION WA;01-03-2022;VN235003408;;No
BLLK-95-1;2022;37228;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022; ;;No
BLPK-83-9;2022;29003;CONTADO   ;INTERNET;AUTOMOVIL ;29-04-2022;CT243007220;;No
BLSK-31-2;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;CT176014908;;No
BLZJ-79-3;2022;36217;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;SD176021408;;No
BLZR-12-0;2022;36405;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;CT243007620;;No
BLZT-83-2;2022;30362;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;SD176021410;;No
BLZW-95-9;2022;108917;1ª Cuota  ;INTERNET;CAMIONETA ;26-04-2022;SD132019720;;No
BLZW-95-9;2022;115233;2ª Cuota  ;INTERNET;CAMIONETA ;14-09-2022;SD132019720;;No
BPBL-46-5;2022;43953;CONTADO   ;PRESENCIAL;STATION WA;18-03-2022;HB050009510;;No
BPKG-61-1;2022;27601;CONTADO   ;PRESENCIAL;FURGON    ;28-03-2022;CT160008408;;No
BPKG-61-1;2022;6116;DUPLICADO ;PRESENCIAL;FURGON    ;16-12-2022;CT176020008;;No
BPLX-32-6;2022;46538;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022;SU235005708;;No
BPPB-94-0;2022;41284;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022;VN160002407;;No
BPPV-77-4;2022;49982;CONTADO   ;INTERNET;STATION WA;28-06-2022; ;;No
BPPY-65-K;2022;39464;CONTADO   ;PRESENCIAL;CAMIONETA ;07-03-2022;SU079004508;;No
BPVB-68-7;2022;49165;CONTADO   ;INTERNET;CAMIONETA ;27-04-2022;SU227048320;;No
BPXJ-31-7;2022;66914;CONTADO   ;PRESENCIAL;STATION WA;22-03-2022;SU227023908;;No
BRCK-54-4;2022;46726;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;VN235003408;;No
BRRK-21-8;2022;174744;CONTADO   ;PRESENCIAL;CAMION    ;29-09-2022; ;;No
BRXB-30-K;2022;29837;1ª Cuota  ;INTERNET;CAMIONETA ;31-03-2022; ;DUPLICADO;No
BRXB-30-K;2022;31568;2ª Cuota  ;INTERNET;CAMIONETA ;14-09-2022;SD132019720;;No
BRYB-20-8;2022;35279;CONTADO   ;PRESENCIAL;CAMIONETA ;07-03-2022;CT176020008;;No
BSPG-74-3;2022;32275;CONTADO   ;PRESENCIAL;CAMIONETA ;02-03-2022;VN235004308;;No
BSTG-76-1;2022;31944;CONTADO   ;INTERNET;STATION WA;31-03-2022;HB050018820;;No
BSVG-32-5;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2022;CT176023309;;No
BSYV-54-2;2022;39782;CONTADO   ;PRESENCIAL;CAMIONETA ;07-03-2022;HB184012408;;No
BTRF-13-0;2022;66617;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;HB050018820;;No
BTRZ-47-7;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;21-03-2022;SU099000416;;No
BTVC-39-8;2022;43916;CONTADO   ;PRESENCIAL;STATION WA;11-03-2022;HB229007708;;No
BVFP-38-6;2022;28627;CONTADO   ;INTERNET;STATION WA;22-06-2022;SU099000416;;No
BVKF-21-9;2022;64366;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;CT111003408;;No
BVTG-47-7;2022;217163;CONTADO   ;PRESENCIAL;STATION WA;23-03-2022;CT176019008;;No
BVYZ-11-3;2022;62114;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2022;CT154000608;;No
BWGY-11-5;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-03-2022;CT117001118;;No
BWWF-43-3;2022;28655;CONTADO   ;PRESENCIAL;AUTOMOVIL ;31-05-2022;CT117001118;;No
BXBH-99-9;2022;38849;CONTADO   ;PRESENCIAL;STATION WA;31-03-2022;VN121000804;;No
BXBK-14-2;2022;30960;CONTADO   ;PRESENCIAL;AUTOMOVIL ;26-08-2022;CO052005108;;No
BYCK-47-9;2022;69055;CONTADO   ;PRESENCIAL;STATION WA;25-03-2022; ;DUPLICADO;No
BYDG-55-6;2022;33407;CONTADO   ;INTERNET;STATION WA;01-04-2022;CT243007620;;No
BYDH-18-8;2022;27713;CONTADO   ;PRESENCIAL;AUTOMOVIL ;01-04-2022;CT176023008;;No
BYGB-98-5;2022;43350;CONTADO   ;PRESENCIAL;STATION WA;31-03-2022;CT176023808;;No
BYLB-81-2;2022;54420;CONTADO   ;INTERNET;FURGON    ;31-03-2022;CT243007620;;No
BYTF-92-K;2022;55537;CONTADO   ;PRESENCIAL;MINIBUS   ;31-05-2022;SU229021008;;No
BYTH-54-K;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;04-03-2022;CT050027409;;No
BZ-7587-8;2022;27221;CONTADO   ;PRESENCIAL;CAMIONETA ;28-03-2022;CT166004808;;No
BZBR-59-3;2022;65225;CONTADO   ;INTERNET;CAMIONETA ;31-03-2022;CT243007620;;No
BZSV-22-4;2022;57199;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT243007620;;No
CBLD-83-3;2022;39970;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;SU227028208;;No
CBLY-41-K;2022;52173;CONTADO   ;INTERNET;CAMIONETA ;31-03-2022;CT243007620;;No
CBLZ-23-8;2022;27713;CONTADO   ;PRESENCIAL;AUTOMOVIL ;04-04-2022;SU111005908;;No
CBPD-99-0;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;31-03-2022;CT243007620;;No
CBPK-80-1;2022;114955;CONTADO   ;PRESENCIAL;CAMIONETA ;09-03-2022; ;;No
CBPV-14-4;2022;29108;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-03-2022;CT235011608;;No
CBRF-33-5;2022;138436;CONTADO   ;PRESENCIAL;STATION WA;04-03-2022;CT235011608;;No
CBSG-78-7;2022;65385;CONTADO   ;PRESENCIAL;CAMIONETA ;17-05-2022;CT050026008;;No
CBSG-78-7;2021;36906;2ª Cuota  ;PRESENCIAL;CAMIONETA ;17-05-2022;CT176019306;;No
CCFJ-33-K;2022;16891;1ª Cuota  ;INTERNET;STATION WA;31-03-2022;CT243007620;;No
CCFJ-33-K;2022;17871;2ª Cuota  ;INTERNET;STATION WA;14-09-2022;CT243007620;;No
CCFY-54-9;2022;51417;CONTADO   ;INTERNET;CAMIONETA ;21-03-2022;CT243007620;;No
CCWW-59-8;2022;58248;CONTADO   ;PRESENCIAL;CAMION    ;28-09-2022;CT050025408;;No
CDRK-35-6;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;SU059009508;;No
CDSH-72-3;2022;30023;CONTADO   ;PRESENCIAL;FURGON    ;30-03-2022;SD197012009;;No
CDVY-76-K;2022;41101;CONTADO   ;PRESENCIAL;STATION WA;28-03-2022;CT160008408;;No
CDVY-80-8;2022;47789;CONTADO   ;INTERNET;AUTOMOVIL ;31-03-2022;CT243007620;;No
CDWB-17-5;2022;28530;CONTADO   ;PRESENCIAL;AUTOMOVIL ;22-03-2022;CT235011609;;No
CDWC-95-3;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;25-03-2022;HB111004408;;No
CDWF-83-2;2022;76725;CONTADO   ;INTERNET;STATION WA;31-03-2022;CT243007420;;No
CDWS-43-7;2022;250505;CONTADO   ;INTERNET;STATION WA;26-04-2022;CT243007420;;No
CFFF-84-4;2022;77871;CONTADO   ;PRESENCIAL;CAMIONETA ;04-04-2022;SU229018508;;No
CFLZ-79-7;2022;33778;1ª Cuota  ;PRESENCIAL;CAMIONETA ;07-03-2022;SU050005509;;No
CFLZ-79-7;2022;35636;2ª Cuota  ;PRESENCIAL;CAMIONETA ;23-08-2022;CT176024309;;No
CFPF-58-3;2022;78938;CONTADO   ;INTERNET;CAMIONETA ;22-09-2022;CT243007420;;No
CFVP-46-1;2022;37155;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;CT243007220;;No
CFYT-21-8;2022;39139;2ª Cuota  ;PRESENCIAL;CAMIONETA ;04-08-2022;SU162002509;;No
CFYT-21-8;2022;37099;1ª Cuota  ;INTERNET;CAMIONETA ;27-04-2022;CT243007220;;No
CGPL-65-2;2022;27221;CONTADO   ;PRESENCIAL;CAMIONETA ;16-03-2022;CT079015409;;No
CGPT-53-7;2020;95046;CONTADO   ;PRESENCIAL;STATION WA;11-10-2022;HB111004509;;No
CGPT-53-7;2021;71884;CONTADO   ;PRESENCIAL;STATION WA;11-10-2022;HB229006909;;No
CGPT-53-7;2022;53826;CONTADO   ;PRESENCIAL;STATION WA;11-10-2022;SU079004310;;No
CGRB-98-9;2022;27221;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2022;HB229009209;;No
CGYL-86-9;2022;58690;CONTADO   ;PRESENCIAL;MINIBUS   ;15-07-2022;VN166004809;;No
CGYP-70-5;2022;28627;CONTADO   ;INTERNET;AUTOMOVIL ;25-05-2022;CT243007220;;No
CHFX-12-5;2022;39600;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;SU059010109;;No
CHFX-12-5;2022;6085;DUPLICADO ;PRESENCIAL;STATION WA;18-11-2022;SD050021509;;No
CHVH-30-2;2022;59831;CONTADO   ;PRESENCIAL;CAMION    ;20-10-2022;SU176018409;;No
CHZD-77-1;2022;65025;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2022;VN111012409;;No
CJDH-74-8;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;25-03-2022; ;;No
CJDX-24-8;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;HB229006909;;No
CJDZ-67-4;2022;40505;CONTADO   ;PRESENCIAL;STATION WA;07-04-2022;CT235000389;;No
CJKV-74-9;2019;0;CONTADO   ;PRESENCIAL;CARRO BOMB;;CT160009809;;No
CJKV-74-9;2020;0;CONTADO   ;PRESENCIAL;CARRO BOMB;;CT235011509;;No
CJKV-74-9;2021;0;CONTADO   ;PRESENCIAL;CARRO BOMB;;SU111006509;;No
CKJS-63-K;2022;63803;CONTADO   ;INTERNET;STATION WA;21-04-2022;CT243007220;;No
CKKF-71-2;2022;76939;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT243007220;;No
CKKH-51-0;2022;56680;CONTADO   ;PRESENCIAL;CAMIONETA ;01-04-2022;CT079014410;;No
CKPK-95-1;2022;29366;CONTADO   ;PRESENCIAL;CAMIONETA ;16-03-2022;SD050022710;;No
CKPK-97-8;2022;30960;CONTADO   ;INTERNET;CAMIONETA ;23-08-2022;CT243007620;;No
CKSL-56-3;2022;52245;1ª Cuota  ;PRESENCIAL;STATION WA;16-03-2022;HB132002409;;No
CKSL-56-3;2022;56727;2ª Cuota  ;PRESENCIAL;STATION WA;08-09-2022;CT132005014;;No
CKWC-44-1;2021;58354;CONTADO   ;PRESENCIAL;CAMIONETA ;14-10-2022;HB235002710;;No
CKWC-44-1;2022;50218;CONTADO   ;PRESENCIAL;CAMIONETA ;14-10-2022;VN132009010;;No
CLRB-44-8;2022;87763;CONTADO   ;PRESENCIAL;STATION WA;25-03-2022;CT079015409;;Si
CO-0191-9;2022;29470;CONTADO   ;PRESENCIAL;Moto      ;10-06-2022;CT079015409;;No
CPBS-75-4;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022;SU229022210;;No
CPCD-18-0;2022;60149;CONTADO   ;INTERNET;STATION WA;21-03-2022;CT243007620;;No
CPTL-59-7;2022;28786;CONTADO   ;INTERNET;AUTOMOVIL ;21-04-2022;CT243007620;;No
CPTS-44-0;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;18-03-2022;SU229022210;;No
CPTT-61-7;2021;15413;2ª Cuota  ;PRESENCIAL;AUTOMOVIL ;04-04-2022;CT176023810;;No
CPTT-61-7;2022;27713;CONTADO   ;PRESENCIAL;AUTOMOVIL ;04-04-2022; ;;No
CPYH-52-2;2022;80692;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;CT243007620;;No
CPZV-26-2;2022;97536;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT243007620;;No
CRBJ-26-0;2022;65025;CONTADO   ;INTERNET;CAMIONETA ;27-04-2022;CT243007620;;No
CRBZ-97-2;2022;33684;1ª Cuota  ;PRESENCIAL;CAMIONETA ;31-03-2022;HB111006410;;No
CRBZ-97-2;2022;37662;2ª Cuota  ;INTERNET;CAMIONETA ;28-11-2022;CT243007620;;No
CRFT-97-7;2022;66998;CONTADO   ;INTERNET;STATION WA;06-04-2022;CT243007620;;No
CRHB-38-3;2022;60425;CONTADO   ;INTERNET;CAMIONETA ;30-03-2022;CT243007620;;No
CRJY-34-0;2022;40315;CONTADO   ;INTERNET;STATION WA;27-04-2022;CT243007620;;No
CRVV-54-5;2022;30780;CONTADO   ;PRESENCIAL;AUTOMOVIL ;07-03-2022;CO184005810;;No
CRVZ-53-2;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;26-04-2022;CT243007620;;No
CSCP-34-0;2022;61867;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2022;SU132010410;;No
CSFW-71-0;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;06-04-2022;CT160012020;;No
CSRX-81-3;2022;29202;CONTADO   ;PRESENCIAL;AUTOMOVIL ;03-03-2022;HB235004610;;No
CSSB-70-5;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;03-05-2022;SD111017410;;No
CSXP-20-4;2022;135240;CONTADO   ;INTERNET;CAMIONETA ;31-03-2022;CT160012020;;No
CTFG-69-7;2022;86697;CONTADO   ;PRESENCIAL;CAMIONETA ;18-03-2022;SD111016410;;No
CTJG-50-2;2022;54469;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;VN111016011;;No
CTVD-54-1;2022;64324;CONTADO   ;INTERNET;AUTOMOVIL ;07-07-2022;CT243007420;;No
CTVY-63-2;2022;70751;CONTADO   ;INTERNET;CAMIONETA ;21-03-2022;CT243007420;;No
CV-9540-K;2022;122510;CONTADO   ;PRESENCIAL;CAMION    ;09-11-2022;SU032002610;;No
CVBW-63-2;2022;84506;CONTADO   ;PRESENCIAL;STATION WA;25-03-2022;CT176028010;;No
CVFD-12-5;2022;60612;CONTADO   ;INTERNET;STATION WA;21-03-2022;CT243007420;;No
CVJH-77-5;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;21-04-2022;CT243007420;;No
CVSV-63-7;2022;72446;CONTADO   ;INTERNET;STATION WA;29-04-2022;CT243007620;;No
CVWT-44-0;2022;67531;CONTADO   ;PRESENCIAL;CAMIONETA ;01-04-2022;CT176020310;;No
CWCR-39-4;2021;49369;CONTADO   ;PRESENCIAL;CAMIONETA ;22-06-2022;CT176020310;;No
CWHJ-87-8;2022;52438;CONTADO   ;PRESENCIAL;CAMIONETA ;14-03-2022;CT166004610;;No
CWJP-30-5;2022;89750;CONTADO   ;INTERNET;CAMIONETA ;26-04-2022;CT243007620;;No
CXJR-21-3;2022;84927;1ª Cuota  ;INTERNET;AUTOMOVIL ;30-03-2022;CT243007620;;No
CXJR-21-3;2022;97183;2ª Cuota  ;INTERNET;AUTOMOVIL ;29-12-2022;CT243007620;;No
CYFJ-71-K;2022;66488;CONTADO   ;INTERNET;CAMIONETA ;29-04-2022;CT243007620;;No
CYVX-90-1;2022;34927;CONTADO   ;INTERNET;AUTOMOVIL ;24-05-2022;CT243007620;;No
CYWY-15-6;2022;41659;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;CT154000610;;No
CYXF-14-8;2022;28745;CONTADO   ;INTERNET;AUTOMOVIL ;21-03-2022;CT243007620;;No
CYXF-20-2;2022;43535;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT243007620;;No
CYXL-38-7;2022;72977;CONTADO   ;INTERNET;CAMIONETA ;27-04-2022;CT243007620;;No
CYYH-11-1;2022;82193;CONTADO   ;PRESENCIAL;CAMIONETA ;30-03-2022;CT064005810;;No
CZZH-45-6;2022;72214;CONTADO   ;INTERNET;CAMIONETA ;17-05-2022;CT243007620;;No
CZZW-54-5;2022;86697;CONTADO   ;INTERNET;CAMIONETA ;21-03-2022;CT243007620;;No
DBCS-60-K;2022;61813;CONTADO   ;PRESENCIAL;MINIBUS   ;22-09-2022;CT064005810;;No
DBDT-35-0;2022;19798;1ª Cuota  ;INTERNET;CAMIONETA ;27-04-2022;CT243007620;;No
DBDT-35-0;2022;20945;2ª Cuota  ;INTERNET;CAMIONETA ;14-09-2022;CT243007220;;No
DBSD-56-7;2022;70751;CONTADO   ;PRESENCIAL;CAMIONETA ;10-03-2022;CT091001309;;No
DBTT-12-7;2022;67523;CONTADO   ;PRESENCIAL;CAMIONETA ;22-03-2022;SU059009410;;No
DCCY-13-4;2022;64555;CONTADO   ;PRESENCIAL;CAMIONETA ;04-04-2022;SU059009410;;No
DCGW-11-1;2022;73458;CONTADO   ;PRESENCIAL;CAMIONETA ;01-04-2022;SU059009410;;No
DCHR-38-3;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;30-03-2022;CT243007620;;No
DCJL-55-3;2022;63057;CONTADO   ;PRESENCIAL;STATION WA;25-03-2022;CT111001199;;No
DCLC-24-K;2022;83981;CONTADO   ;PRESENCIAL;CAMIONETA ;22-09-2022; ;;No
DCVV-55-7;2022;27221;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2022;HB050011410;;No
DCWC-90-1;2022;13611;1ª Cuota  ;INTERNET;AUTOMOVIL ;21-03-2022;CT243007620;;No
DDDB-20-2;2022;55537;CONTADO   ;PRESENCIAL;BUS       ;31-05-2022;SU229023810;;No
DDFX-18-4;2022;89750;CONTADO   ;PRESENCIAL;CAMIONETA ;21-03-2022; ;DUPLICADO;No
DDHD-11-2;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;23-03-2022; ;;No
DDPW-86-0;2022;27221;CONTADO   ;INTERNET;AUTOMOVIL ;31-03-2022;CT243007620;;No
DDZS-12-7;2022;33088;CONTADO   ;PRESENCIAL;FURGON    ;09-03-2022;CT050028910;;No
DF-5122-6;2022;27221;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;CT243007620;;No
DF-9613-0;2022;27713;CONTADO   ;INTERNET;CAMIONETA ;29-04-2022;CT243007620;;No
DFDH-81-0;2022;80047;CONTADO   ;INTERNET;CAMIONETA ;27-04-2022;CT243007620;;No
DFGK-33-4;2022;34740;CONTADO   ;PRESENCIAL;STATION WA;22-06-2022;HB229011011;;No
DFGK-33-4;2021;46693;CONTADO   ;PRESENCIAL;STATION WA;22-06-2022;CT166004607;;No
DFKH-21-4;2022;88261;CONTADO   ;PRESENCIAL;CAMIONETA ;12-04-2022;HB132003211;;No
DFXX-17-7;2022;69317;CONTADO   ;PRESENCIAL;AUTOMOVIL ;23-03-2022;SU229023910;;No
DFYY-63-2;2022;58928;CONTADO   ;INTERNET;CAMIONETA ;06-04-2022;CT243007620;;No
DGFR-66-1;2022;100483;CONTADO   ;INTERNET;STATION WA;21-04-2022;CT243007620;;No
DGGZ-43-2;2022;77787;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2022; ;;No
DGJX-12-0;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;30-03-2022; ;;No
DGKL-83-8;2022;99304;1ª Cuota  ;PRESENCIAL;STATION WA;21-03-2022; ;;No
DGKL-83-8;2022;104766;2ª Cuota  ;PRESENCIAL;STATION WA;29-08-2022;SU227028010;;No
DGPT-84-0;2022;77758;CONTADO   ;PRESENCIAL;CAMIONETA ;04-04-2022;CT235011610;;No
DGTH-66-7;2022;35842;1ª Cuota  ;PRESENCIAL;CAMIONETA ;11-03-2022;CT111004410;;No
DGTH-66-7;2022;37813;2ª Cuota  ;PRESENCIAL;CAMIONETA ;31-08-2022;CT091001610;;No
DGXW-84-1;2022;52438;CONTADO   ;PRESENCIAL;CAMIONETA ;31-03-2022;CT091001410;;No
DH-4606-K;2022;27221;CONTADO   ;INTERNET;STATION WA;31-03-2022;CT243007620;;No
DHCX-32-2;2022;32659;CONTADO   ;INTERNET;CAMIONETA ;29-04-2022;CT243007620;;No
DHST-72-8;2022;55537;CONTADO   ;PRESENCIAL;MINIBUS   ;25-05-2022;VN235004910;;No
DHZP-56-3;2022;89332;CONTADO   ;PRESENCIAL;STATION WA;30-03-2022;VN235004910;;No
DJ-4803-7;2022;27221;CONTADO   ;PRESENCIAL;JEEP      ;22-03-2022;CT231000211;;No
DJBD-52-0;2022;27221;CONTADO   ;PRESENCIAL;AUTOMOVIL ;28-03-2022;CT231000211;;No
DJDG-98-2;2022;123660;CONTADO   ;INTERNET;CAMIONETA ;21-04-2022;CT243007620;;No
DJSC-38-K;2022;91764;CONTADO   ;PRESENCIAL;CAMIONETA ;09-03-2022;SU227031410;;No
DJWX-53-1;2022;86509;CONTADO   ;INTERNET;CAMIONETA ;25-04-2022;CT243007620;;No
DK-1750-0;2021;31595;CONTADO   ;PRESENCIAL;AUTOMOVIL ;01-02-2022;MT070000515;;No
DK-1750-0;2022;13611;1ª Cuota  ;INTERNET;AUTOMOVIL ;22-03-2022;CT243007620;;No
DKCF-76-4;2021;60981;CONTADO   ;PRESENCIAL;CAMION    ;19-04-2022;SD176021410;;No
DKCF-76-4;2022;62451;CONTADO   ;PRESENCIAL;CAMION    ;16-12-2022;SU176019310;;No
DKGF-26-4;2022;61830;1ª Cuota  ;PRESENCIAL;CAMIONETA ;28-03-2022;HB050012211;;No
DKGF-26-4;2022;65231;2ª Cuota  ;PRESENCIAL;CAMIONETA ;31-08-2022;SD050026511;;No
DKGF-35-3;2022;85388;CONTADO   ;PRESENCIAL;CAMIONETA ;28-03-2022;HB229011011;;No
DKHL-74-1;2022;72787;CONTADO   ;PRESENCIAL;FURGON    ;07-04-2022;HB229011011;;No
DKPK-53-K;2022;106989;CONTADO   ;PRESENCIAL;CAMIONETA ;25-03-2022;CT160010310;;No
DKYY-20-7;2022;28991;CONTADO   ;PRESENCIAL;CAMIONETA ;23-03-2022;CT064006611;;No
